# BUSCO version is: 6.1.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Fragmented	NODE_327_length_5940_cov_4.794902	5853	3019	-	1260.9	803	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Fragmented	NODE_1568_length_2122_cov_4.092888	2	1825	+	815.5	470	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Fragmented	NODE_3360_length_1249_cov_5.209380	1249	86	-	148.0	203	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Fragmented	NODE_2123_length_1739_cov_3.937055	1739	3	-	413.0	378	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	NODE_429_length_4905_cov_3.691134	2677	4659	+	762.4	478	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Missing
182107at2	Missing
219876at2	Missing
223233at2	Fragmented	NODE_844_length_3177_cov_3.739270	607	2	-	267.6	170	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Missing
232152at2	Missing
267682at2	Complete	NODE_392_length_5317_cov_3.451159	4757	3330	-	253.2	284	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NODE_1910_length_1869_cov_4.242007	1654	365	-	418.9	322	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	NODE_1160_length_2605_cov_4.230196	3	899	+	181.5	170	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	NODE_3429_length_1233_cov_4.565365	1231	92	-	297.5	270	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	NODE_236_length_7356_cov_4.592932	1517	93	-	573.4	361	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	NODE_622_length_3928_cov_4.381616	1502	2692	+	165.1	212	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Fragmented	NODE_4570_length_1004_cov_2.250790	1004	483	-	233.8	150	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Fragmented	NODE_951_length_2950_cov_4.461485	1706	2950	+	223.1	163	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Fragmented	NODE_1770_length_1956_cov_4.759074	999	1	-	185.9	165	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Fragmented	NODE_4339_length_1038_cov_2.298067	1	1038	+	282.3	234	https://v10-1.orthodb.org/?query=533698at2	Enolase
