# BUSCO version is: 6.1.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	NZ_VULR01000001.1	264258	260725	-	1744.8	1052	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	NZ_VULR01000001.1	267924	264334	-	1320.1	792	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	NZ_VULR01000014.1	22062	18325	-	272.0	381	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	NZ_VULR01000004.1	4519	7158	+	565.1	538	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	NZ_VULR01000002.1	76619	78583	+	768.0	475	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	NZ_VULR01000001.1	139650	137824	-	529.6	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	NZ_VULR01000009.1	67583	69397	+	734.1	492	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	NZ_VULR01000019.1	10932	9598	-	336.0	264	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	NZ_VULR01000012.1	58958	61045	+	525.4	480	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	NZ_VULR01000017.1	31046	32827	+	599.4	473	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Missing
267682at2	Complete	NZ_VULR01000014.1	17759	16407	-	258.1	264	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NZ_VULR01000008.1	31101	32375	+	415.2	314	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	NZ_VULR01000004.1	130072	129023	-	186.2	214	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	NZ_VULR01000016.1	49986	51212	+	312.2	283	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	NZ_VULR01000007.1	8646	10043	+	586.2	360	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	NZ_VULR01000001.1	66195	65002	-	173.2	217	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	NZ_VULR01000011.1	68134	69156	+	395.3	294	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	NZ_VULR01000007.1	120752	122035	+	304.1	233	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	NZ_VULR01000001.1	295415	294057	-	224.3	233	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	NZ_VULR01000001.1	62680	61388	-	382.0	288	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	NZ_VULR01000001.1	242177	241230	-	254.9	223	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	NZ_VULR01000001.1	286988	285255	-	763.7	545	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	NZ_VULR01000008.1	127476	129419	+	199.4	310	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	NZ_VULR01000004.1	78655	79323	+	247.5	204	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	NZ_VULR01000007.1	6241	7746	+	671.4	406	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	NZ_VULR01000002.1	147178	148092	+	155.3	198	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	NZ_VULR01000017.1	14827	15834	+	422.4	273	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	NZ_VULR01000014.1	16392	15358	-	436.8	306	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	NZ_VULR01000014.1	13178	11925	-	631.4	411	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
