# BUSCO version is: 6.1.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	DWXM01000091.1	11535	15173	+	1707.0	1053	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	DWXM01000091.1	7954	11496	+	1293.3	819	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	DWXM01000045.1	25193	23022	-	257.3	362	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	DWXM01000088.1	37339	39966	+	542.6	551	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	DWXM01000001.1	2145	4115	+	750.4	489	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	DWXM01000058.1	6334	4502	-	530.1	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	DWXM01000088.1	54126	55949	+	721.0	492	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	DWXM01000007.1	41238	42563	+	319.0	266	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	DWXM01000060.1	6492	8558	+	529.0	471	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	DWXM01000088.1	21449	23206	+	590.7	473	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	DWXM01000007.1	62156	63442	+	329.0	279	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	DWXM01000045.1	23007	21625	-	244.3	279	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	DWXM01000007.1	55942	57219	+	390.9	322	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	DWXM01000051.1	4056	5186	+	175.1	213	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	DWXM01000019.1	7684	6419	-	312.4	284	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	DWXM01000063.1	6553	5135	-	568.2	360	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	DWXM01000073.1	8426	9613	+	174.1	222	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	DWXM01000071.1	58311	57238	-	412.5	294	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	DWXM01000007.1	23507	21963	-	297.2	233	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	DWXM01000034.1	29393	30766	+	227.1	233	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	DWXM01000073.1	11909	13201	+	383.4	286	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	DWXM01000057.1	4111	3167	-	246.5	225	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	DWXM01000060.1	19616	21307	+	750.4	536	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	DWXM01000077.1	14146	12179	-	211.1	314	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	DWXM01000017.1	36441	37088	+	247.7	204	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	DWXM01000063.1	8991	7483	-	665.2	407	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	DWXM01000090.1	5467	4544	-	143.7	187	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	DWXM01000088.1	7789	8802	+	397.3	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	DWXM01000045.1	21622	20603	-	436.9	303	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	DWXM01000045.1	18564	17323	-	540.0	414	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	DWXM01000071.1	37822	36530	-	83.4	231	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	DWXM01000057.1	14665	13835	-	231.8	178	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	DWXM01000017.1	45441	46607	+	229.7	259	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	DWXM01000086.1	16951	16049	-	223.9	218	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	DWXM01000069.1	22267	23430	+	255.4	209	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	DWXM01000078.1	19438	20613	+	425.9	307	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	DWXM01000071.1	49328	47544	-	280.4	328	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	DWXM01000060.1	14244	14963	+	156.4	155	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	DWXM01000045.1	20056	18578	-	574.4	436	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	DWXM01000088.1	32993	34099	+	442.7	330	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	DWXM01000047.1	31978	32868	+	118.7	148	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	DWXM01000017.1	16370	18046	+	223.3	375	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	DWXM01000047.1	16115	17161	+	384.1	262	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	DWXM01000069.1	18219	19550	+	294.5	357	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	DWXM01000057.1	13080	12433	-	197.4	161	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	DWXM01000069.1	17256	18215	+	251.3	249	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	DWXM01000047.1	2844	3755	+	117.4	119	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Missing
1257362at2	Complete	DWXM01000042.1	12391	11372	-	249.8	234	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	DWXM01000073.1	9624	10379	+	311.9	249	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	DWXM01000057.1	16271	15615	-	171.2	146	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	DWXM01000069.1	13771	14697	+	122.1	151	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Complete	DWXM01000069.1	39900	41087	+	303.9	289	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	DWXM01000060.1	18310	19611	+	131.3	154	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	DWXM01000057.1	9538	9002	-	139.7	130	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Complete	DWXM01000017.1	40340	41392	+	244.9	259	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	DWXM01000057.1	10729	10190	-	233.6	143	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	DWXM01000091.1	5724	6239	+	103.0	108	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	DWXM01000088.1	62779	63492	+	56.5	85	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	DWXM01000057.1	6102	5455	-	140.0	130	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	DWXM01000046.1	21778	22269	+	24.4	46	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	DWXM01000069.1	39026	39649	+	250.6	188	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	DWXM01000047.1	3763	4704	+	178.0	222	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Complete	DWXM01000057.1	8592	8089	-	221.3	149	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Complete	DWXM01000091.1	16060	16530	+	197.7	134	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	DWXM01000057.1	7428	6133	-	315.8	297	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	DWXM01000057.1	15594	14971	-	129.0	104	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	DWXM01000017.1	10283	10657	+	102.7	137	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	DWXM01000007.1	36077	35361	-	68.4	93	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Missing
1595498at2	Complete	DWXM01000051.1	3574	4041	+	30.7	38	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	DWXM01000060.1	12444	13208	+	267.4	188	https://v10-1.orthodb.org/?query=1623045at2	Ribosomal protein S2
1661836at2	Missing
1666043at2	Complete	DWXM01000057.1	13470	13099	-	110.9	86	https://v10-1.orthodb.org/?query=1666043at2	Ribosomal protein L22/L17
1671455at2	Complete	DWXM01000091.1	4796	5497	+	221.0	165	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Complete	DWXM01000060.1	14977	15534	+	150.4	138	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1676462at2	Complete	DWXM01000034.1	2086	2658	+	128.3	102	https://v10-1.orthodb.org/?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	DWXM01000057.1	9958	9560	-	194.8	131	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1698718at2	Complete	DWXM01000079.1	480	833	+	132.0	90	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Complete	DWXM01000063.1	7447	6575	-	158.1	146	https://v10-1.orthodb.org/?query=1701531at2	ATP synthase, F1 complex, gamma subunit
1702697at2	Complete	DWXM01000091.1	4304	4729	+	132.1	105	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Complete	DWXM01000091.1	15599	16012	+	166.3	101	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Complete	DWXM01000057.1	4569	4174	-	153.3	97	https://v10-1.orthodb.org/?query=1713391at2	Ribosomal protein S11
1720952at2	Complete	DWXM01000073.1	16655	17119	+	190.0	143	https://v10-1.orthodb.org/?query=1720952at2	SsrA-binding protein
1758685at2	Complete	DWXM01000086.1	16040	15300	-	30.6	56	https://v10-1.orthodb.org/?query=1758685at2	DNA repair protein RecO
1760144at2	Complete	DWXM01000071.1	61597	61070	-	92.6	86	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Missing
1772647at2	Complete	DWXM01000057.1	4962	4597	-	148.5	100	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Complete	DWXM01000007.1	31342	31034	-	53.6	71	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Complete	DWXM01000057.1	12414	11980	-	159.5	104	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1799923at2	Complete	DWXM01000057.1	11465	11097	-	134.1	104	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Missing
1822695at2	Complete	DWXM01000091.1	6282	6647	+	92.7	89	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Complete	DWXM01000042.1	13909	13460	-	68.2	70	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Complete	DWXM01000069.1	8522	9070	+	85.7	84	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Complete	DWXM01000004.1	4269	4709	+	79.4	76	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	DWXM01000057.1	3147	2770	-	94.6	83	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Complete	DWXM01000017.1	57009	57767	+	35.2	79	https://v10-1.orthodb.org/?query=1842956at2	Biotin--acetyl-CoA-carboxylase ligase
1844275at2	Complete	DWXM01000069.1	31712	32629	+	171.2	185	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Complete	DWXM01000069.1	9063	9548	+	125.8	108	https://v10-1.orthodb.org/?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	DWXM01000057.1	7865	7428	-	73.4	87	https://v10-1.orthodb.org/?query=1874945at2	Ribosomal protein L15
1890943at2	Complete	DWXM01000046.1	14054	14815	+	65.8	105	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Complete	DWXM01000057.1	13773	13498	-	141.1	71	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Complete	DWXM01000088.1	5526	5810	+	115.3	67	https://v10-1.orthodb.org/?query=1904463at2	Ribosomal protein L27
1906715at2	Complete	DWXM01000088.1	58181	58756	+	61.8	78	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Complete	DWXM01000071.1	60820	60464	-	118.3	93	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Complete	DWXM01000046.1	21229	21501	+	103.0	70	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
