# BUSCO version is: 6.1.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Fragmented	NODE_559_length_4153_cov_4.476086	2389	4152	+	1020.4	531	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Fragmented	NODE_559_length_4153_cov_4.476086	1	2334	+	1108.6	620	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Fragmented	NODE_4183_length_1063_cov_2.384921	153	1061	+	35.6	30	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Fragmented	NODE_1848_length_1909_cov_4.261057	333	1907	+	385.3	348	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Missing
143460at2	Complete	NODE_762_length_3417_cov_3.265913	1344	3170	+	529.5	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	NODE_1785_length_1945_cov_4.358201	109	1908	+	713.7	490	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Fragmented	NODE_1840_length_1917_cov_1.920516	1712	798	-	220.2	154	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Fragmented	NODE_2348_length_1613_cov_3.516046	1023	1613	+	259.5	169	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Missing
232152at2	Missing
267682at2	Complete	NODE_1674_length_2042_cov_2.755410	169	1521	+	256.0	264	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NODE_3498_length_1215_cov_5.248276	1213	2	-	405.2	314	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	NODE_1846_length_1912_cov_4.057081	984	1691	+	161.1	168	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Missing
430176at2	Complete	NODE_701_length_3662_cov_4.891600	2138	3532	+	586.2	360	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Missing
469058at2	Fragmented	NODE_2258_length_1664_cov_3.349285	1662	730	-	345.3	270	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	NODE_826_length_3235_cov_3.321069	2515	1232	-	304.3	233	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
